english_name,description
Archeops,"It needs a running start to take off. If Archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles."
Trubbish,"Its favorite places are unsanitary ones. If you leave trash lying around, you could even find one of these Pokémon living in your room."
Garbodor,"This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten."
Zorua,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.
Zoroark,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe."
Minccino,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.
Cinccino,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.
Gothita,"Though they’re still only babies, there’s psychic power stored in their ribbonlike feelers, and sometimes they use that power to fight."
Gothorita,"It’s said that when stars shine in the night sky, this Pokémon will spirit away sleeping children. Some call it the Witch of Punishment."
Gothitelle,"It has tremendous psychic power, but it dislikes conflict. It’s also able to predict the future based on the movement of the stars."
Solosis,"It communicates with others telepathically. Its body is encapsulated in liquid, but if it takes a heavy blow, the liquid will leak out."
Duosion,Its psychic power can supposedly cover a range of more than half a mile—but only if its two brains can agree with each other.
Reuniclus,"While it could use its psychic abilities in battle, this Pokémon prefers to swing its powerful arms around to beat opponents into submission."
Ducklett,"When attacked, it uses its feathers to splash water, escaping under cover of the spray."
Swanna,"Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles."
Vanillite,"Unable to survive in hot areas, it makes itself comfortable by breathing out air cold enough to cause snow. It burrows into the snow to sleep."
Vanillish,"By drinking pure water, it grows its icy body. This Pokémon can be hard to find on days with warm, sunny weather."
Vanilluxe,"When its anger reaches a breaking point, this Pokémon unleashes a fierce blizzard that freezes every creature around it, be they friend or foe."
Deerling,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.
Sawsbuck,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
Emolga,"As Emolga flutters through the air, it crackles with electricity. This Pokémon is cute, but it can cause a lot of trouble."
Karrablast,Its strange physiology reacts to electrical energy in interesting ways. The presence of a Shelmet will cause this Pokémon to evolve.
Escavalier,They use shells they’ve stolen from Shelmet to arm and protect themselves. They’re very popular Pokémon in the Galar region.
Foongus,No one knows what the Poké Ball–like pattern on Foongus means or why Foongus has it.
Amoonguss,"This Pokémon puffs poisonous spores at its foes. If the spores aren’t washed off quickly, they’ll grow into mushrooms wherever they land."
Frillish,"It envelops its prey in its veillike arms and draws it down to the deeps, five miles below the ocean’s surface."
Jellicent,Most of this Pokémon’s body composition is identical to sea water. It makes sunken ships its lair.
Alomomola,"Fishermen take them along on long voyages, because if you have an Alomomola with you, there’ll be no need for a doctor or medicine."
Joltik,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.
Galvantula,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.
Ferroseed,"It defends itself by launching spikes, but its aim isn’t very good at first. Only after a lot of practice will it improve."
Ferrothorn,"This Pokémon scrapes its spikes across rocks, and then uses the tips of its feelers to absorb the nutrients it finds within the stone."
Klink,The two minigears that compose this Pokémon are closer than twins. They mesh well only with each other.
Klang,"When Klang goes all out, the minigear links up perfectly with the outer part of the big gear, and this Pokémon’s rotation speed increases sharply."
Klinklang,"From its spikes, it launches powerful blasts of electricity. Its red core contains an enormous amount of energy."
Tynamo,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning."
Eelektrik,It wraps itself around its prey and paralyzes it with electricity from the round spots on its sides. Then it chomps.
Eelektross,"With their sucker mouths, they suck in prey. Then they use their fangs to shock the prey with electricity."
Elgyem,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home."
Beheeyem,"Whenever a Beheeyem visits a farm, a Dubwool mysteriously disappears."
Litwick,The flame on its head keeps its body slightly warm. This Pokémon takes lost children by the hand to guide them to the spirit world.
Lampent,"This Pokémon appears just before someone passes away, so it’s feared as an emissary of death."
Chandelure,This Pokémon haunts dilapidated mansions. It sways its arms to hypnotize opponents with the ominous dancing of its flames.
Axew,These Pokémon nest in the ground and use their tusks to crush hard berries. Crushing berries is also how they test each other’s strength.
Fraxure,"After battle, this Pokémon carefully sharpens its tusks on river rocks. It needs to take care of its tusks—if one breaks, it will never grow back."
Haxorus,Its resilient tusks are its pride and joy. It licks up dirt to take in the minerals it needs to keep its tusks in top condition.
Cubchoo,"When this Pokémon is in good health, its snot becomes thicker and stickier. It will smear its snot on anyone it doesn’t like."
Beartic,"It swims through frigid seas, searching for prey. From its frozen breath, it forms icy fangs that are harder than steel."
Cryogonal,"With its icy chains, Cryogonal freezes those it encounters. It then takes its victims away to somewhere unknown."
Shelmet,"When attacked, it tightly shuts the lid of its shell. This reaction fails to protect it from Karrablast, however, because they can still get into the shell."
Accelgor,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.
Stunfisk,"Thanks to bacteria that lived in the mud flats with it, this Pokémon developed the organs it uses to generate electricity."
Mienfoo,"In one minute, a well-trained Mienfoo can chop with its arms more than 100 times."
Mienshao,"When Mienshao comes across a truly challenging opponent, it will lighten itself by biting off the fur on its arms."
Druddigon,"Druddigon lives in caves, but it never skips sunbathing—it won’t be able to move if its body gets too cold."
Golett,"They were sculpted from clay in ancient times. No one knows why, but some of them are driven to continually line up boulders."
Golurk,Artillery platforms built into the walls of ancient castles served as perches from which Golurk could fire energy beams.
Pawniard,It uses river stones to maintain the cutting edges of the blades covering its body. These sharpened blades allow it to bring down opponents.
Bisharp,"It’s accompanied by a large retinue of Pawniard. Bisharp keeps a keen eye on its minions, ensuring none of them even think of double-crossing it."
Bouffalant,These Pokémon can crush a car with no more than a headbutt. Bouffalant with more hair on their heads hold higher positions within the herd.
Rufflet,"If it spies a strong Pokémon, Rufflet can’t resist challenging it to a battle. But if Rufflet loses, it starts bawling."
Braviary,"Known for its bravery and pride, this majestic Pokémon is often seen as a motif for various kinds of emblems."
Vullaby,It wears a bone to protect its rear. It often squabbles with others of its kind over particularly comfy bones.
Mandibuzz,"Although it’s a bit of a ruffian, this Pokémon will take lost Vullaby under its wing and care for them till they’re ready to leave the nest."
Heatmor,"There’s a hole in its tail that allows it to draw in the air it needs to keep its fire burning. If the hole gets blocked, this Pokémon will fall ill."
Durant,"They lay their eggs deep inside their nests. When attacked by Heatmor, they retaliate using their massive mandibles."
Deino,"When it encounters something, its first urge is usually to bite it. If it likes what it tastes, it will commit the associated scent to memory."
Zweilous,"While hunting for prey, Zweilous wanders its territory, its two heads often bickering over which way to go."
Hydreigon,There are a slew of stories about villages that were destroyed by Hydreigon. It bites anything that moves.
Larvesta,The people of ancient times believed that Larvesta fell from the sun.
Volcarona,Volcarona scatters burning scales. Some say it does this to start fires. Others say it’s trying to rescue those that suffer in the cold.
Cobalion,"This Pokémon appears in a legend alongside Terrakion and Virizion, fighting against humans in defense of the Unova region’s Pokémon."
Terrakion,It has phenomenal power. It will mercilessly crush anyone or anything that bullies small Pokémon.
Virizion,A legend tells of this Pokémon working together with Cobalion and Terrakion to protect the Pokémon of the Unova region.
Tornadus,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.
Thundurus,The spikes on its tail discharge immense bolts of lightning. It flies around the Unova region firing off lightning bolts.
Reshiram,This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.
Zekrom,This legendary Pokémon can scorch the world with lightning. It assists those who want to build an ideal world.
Landorus,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”
Kyurem,This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.
Keldeo,"It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts."
Meloetta,The melodies sung by Meloetta have the power to make Pokémon that hear them happy or sad.
Genesect,This ancient bug Pokémon was altered by Team Plasma. They upgraded the cannon on its back.
Chespin,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock."
Quilladin,It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.
Chesnaught,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.
Fennekin,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit."
Braixen,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle."
Delphox,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future."
Froakie,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.
Frogadier,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away."
Greninja,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two."
Bunnelby,"It excels at digging holes. Using its ears, it can dig a nest 33 feet deep in one night."
Diggersby,"With power equal to an excavator, it can dig through dense bedrock. It’s a huge help during tunnel construction."
Fletchling,Its melodious cries are actually warnings. Fletchling will mercilessly peck at anything that enters its territory.
Fletchinder,"Fletchinder launches embers into the den of its prey. When the prey comes leaping out, Fletchinder’s sharp talons finish it off."
Talonflame,"Talonflame mainly preys upon other bird Pokémon. To intimidate opponents, it sends embers spewing from gaps between its feathers."
Scatterbug,"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact."
Spewpa,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them."
Vivillon,Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.
Litleo,"When they’re young, they live with a pride. Once they’re able to hunt prey on their own, they’re kicked out and have to make their own way."
Pyroar,"The males are usually lazy, but when attacked by a strong foe, a male will protect its friends with no regard for its own safety."
Flabébé,"It’s not safe without the power of a flower, but it will keep traveling around until it finds one with the color and shape it wants."
Floette,"It raises flowers and uses them as weapons. The more gorgeous the blossom, the more power it contains."
Florges,It controls the flowers it grows. The petal blizzards that Florges triggers are overwhelming in their beauty and power.
Skiddo,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition."
Gogoat,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.
Pancham,It chooses a Pangoro as its master and then imitates its master’s actions. This is how it learns to battle and hunt for prey.
Pangoro,"This Pokémon is quick to anger, and it has no problem using its prodigious strength to get its way. It lives for duels against Obstagoon."
Furfrou,There was an era when aristocrats would compete to see who could trim their Furfrou’s fur into the most exquisite style.
Espurr,"Though Espurr’s expression never changes, behind that blank stare is an intense struggle to contain its devastating psychic power."
Meowstic,"Revealing the eyelike patterns on the insides of its ears will unleash its psychic powers. It normally keeps the patterns hidden, however."
Honedge,Honedge’s soul once belonged to a person who was killed a long time ago by the sword that makes up Honedge’s body.
Doublade,Honedge evolves into twins. The two blades rub together to emit a metallic sound that unnerves opponents.
Aegislash,"In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack."
Spritzee,A scent pouch within this Pokémon’s body allows it to create various scents. A change in its diet will alter the fragrance it produces.
Aromatisse,The scent that constantly emits from its fur is so powerful that this Pokémon’s companions will eventually lose their sense of smell.
Swirlix,"It eats its own weight in sugar every day. If it doesn’t get enough sugar, it becomes incredibly grumpy."
Slurpuff,"By taking in a person’s scent, it can sniff out their mental and physical condition. It’s hoped that this skill will have many medical applications."
Inkay,It spins while making its luminescent spots flash. These spots allow it to communicate with others by using different patterns of light.
Malamar,"Gazing at its luminescent spots will quickly induce a hypnotic state, putting the observer under Malamar’s control."
Binacle,"After two Binacle find a suitably sized rock, they adhere themselves to it and live together. They cooperate to gather food during high tide."
Barbaracle,Seven Binacle come together to form one Barbaracle. The Binacle that serves as the head gives orders to those serving as the limbs.
Skrelp,"It drifts in the ocean, blending in with floating seaweed. When other Pokémon come to feast on the seaweed, Skrelp feasts on them instead."
Dragalge,Dragalge uses a poisonous liquid capable of corroding metal to send tankers that enter its territory to the bottom of the sea.
Clauncher,"Clauncher’s claws can fall off during battle, but they’ll regenerate. The meat inside the claws is popular as a delicacy in Galar."
Clawitzer,"After using the feelers on its oversized claw to detect the location of prey, Clawitzer launches a cannonball of water at its target."
Helioptile,"When spread, the frills on its head act like solar panels, generating the power behind this Pokémon’s electric moves."
Heliolisk,"A now-vanished desert culture treasured these Pokémon. Appropriately, when Heliolisk came to the Galar region, treasure came with them."
Tyrunt,"This is an ancient Pokémon, revived in modern times. It has a violent disposition, and it’ll tear apart anything it gets between its hefty jaws."
Tyrantrum,"This Pokémon is from about 100,000,000 years ago. It has the presence of a king, vicious but magnificent."
Amaura,"This Pokémon was successfully restored from a fossil. In the past, it lived with others of its kind in cold lands where there were fewer predators."
Aurorus,"Aurorus was restored from a fossil. It’s said that when this Pokémon howls, auroras appear in the night sky."
Sylveon,"By releasing enmity-erasing waves from its ribbonlike feelers, Sylveon stops any conflict."
Hawlucha,"It drives its opponents to exhaustion with its agile maneuvers, then ends the fight with a flashy finishing move."
Dedenne,A Dedenne’s whiskers pick up electrical waves other Dedenne send out. These Pokémon share locations of food or electricity with one another.
Carbink,"When beset by attackers, Carbink wipes them all out by firing high-energy beams from the gems embedded in its body."
Goomy,"Because most of its body is water, it will dry up if the weather becomes too arid. It’s considered the weakest dragon Pokémon."
Sliggoo,"Although this Pokémon isn’t very strong, its body is coated in a caustic slime that can melt through anything, so predators steer clear of it."
Goodra,"Sometimes it misunderstands instructions and appears dazed or bewildered. Many Trainers don’t mind, finding this behavior to be adorable."
Klefki,"This Pokémon is constantly collecting keys. Entrust a Klefki with important keys, and the Pokémon will protect them no matter what."
Phantump,"After a lost child perished in the forest, their spirit possessed a tree stump, causing the spirit’s rebirth as this Pokémon."
Trevenant,"People fear it due to a belief that it devours any who try to cut down trees in its forest, but to the Pokémon it shares its woods with, it’s kind."
Pumpkaboo,Spirits that wander this world are placed into Pumpkaboo’s body. They’re then moved on to the afterlife.
Gourgeist,Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.
Bergmite,"They chill the air around them to −150 degrees Fahrenheit, freezing the water in the air into ice that they use as armor."
Avalugg,"At high latitudes, this Pokémon can be found with clusters of Bergmite on its back as it swims among the icebergs."
Noibat,"After nightfall, they emerge from the caves they nest in during the day. Using their ultrasonic waves, they go on the hunt for ripened fruit."
Noivern,"Aggressive and cruel, this Pokémon will ruthlessly torment enemies that are helpless in the dark."
Xerneas,Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.
Yveltal,"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures."
Zygarde,This is Zygarde’s form when about half of its pieces have been assembled. It plays the role of monitoring the ecosystem.
Diancie,"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world."
Hoopa,"In its true form, it possesses a huge amount of power. Legends of its avarice tell how it once carried off an entire castle to gain the treasure hidden within."
Volcanion,It lets out billows of steam and disappears into the dense fog. It’s said to live in mountains where humans do not tread.
Rowlet,"It sends its feathers, which are as sharp as blades, flying in attack. Its legs are strong, so its kicks are also formidable."
Dartrix,"This narcissistic Pokémon is a clean freak. If you don’t groom it diligently, it will stop listening to you."
Decidueye,"It nocks its arrow quills and shoots them at opponents. When it simply can’t afford to miss, it tugs the vine on its head to improve its focus."
Litten,"If you try too hard to get close to it, it won’t open up to you. Even if you do grow close, giving it too much affection is still a no-no."
Torracat,"It can act spoiled if it grows close to its Trainer. A powerful Pokémon, its sharp claws can leave its Trainer’s whole body covered in scratches."
Incineroar,"Although it’s rough mannered and egotistical, it finds beating down unworthy opponents boring. It gets motivated for stronger opponents."
Popplio,The balloons it inflates with its nose grow larger and larger as it practices day by day.
Brionne,It gets excited when it sees a dance it doesn’t know. This hard worker practices diligently until it can learn that dance.
Primarina,"To Primarina, every battle is a stage. It takes down its prey with beautiful singing and dancing."
Pikipek,It pecks at trees with its hard beak. You can get some idea of its mood or condition from the rhythm of its pecking.
Trumbeak,It can bend the tip of its beak to produce over a hundred different cries at will.
Toucannon,They smack beaks with others of their kind to communicate. The strength and number of hits tell each other how they feel.
Yungoos,"Its stomach takes up most of its long torso. It’s a big eater, so the amount Trainers have to spend on its food is no laughing matter."
Gumshoos,"Although it wasn’t originally found in Alola, this Pokémon was brought over a long time ago when there was a huge Rattata outbreak."
Grubbin,"Its natural enemies, like Rookidee, may flee rather than risk getting caught in its large mandibles that can snap thick tree branches."
Charjabug,"While its durable shell protects it from attacks, Charjabug strikes at enemies with jolts of electricity discharged from the tips of its jaws."
Vikavolt,"It builds up electricity in its abdomen, focuses it through its jaws, and then fires the electricity off in concentrated beams."
Crabrawler,Its hard pincers are well suited to both offense and defense. Fights between two Crabrawler are like boxing matches.
Crabominable,It stores coldness in its pincers and pummels its foes. It can even smash thick walls of ice to bits!
Oricorio,It wins the hearts of its enemies with its passionate dancing and then uses the opening it creates to burn them up with blazing flames.
Cutiefly,"Nectar and pollen are its favorite fare. You can find Cutiefly hovering around Gossifleur, trying to get some of Gossifleur’s pollen."
Ribombee,It makes pollen puffs from pollen and nectar. The puffs’ effects depend on the type of ingredients and how much of each one is used.
Rockruff,"This Pokémon can bond very strongly with its Trainer, but it also has a habit of biting. Raising a Rockruff for a long time can be challenging."
Lycanroc,This Lycanroc is calm and cautious. The rocks jutting from its mane are razor sharp.
Wishiwashi,"Individually, they’re incredibly weak. It’s by gathering up into schools that they’re able to confront opponents."
Mareanie,The first symptom of its sting is numbness. The next is an itching sensation so intense that it’s impossible to resist the urge to claw at your skin.
Toxapex,"To survive in the cold waters of Galar, this Pokémon forms a dome with its legs, enclosing its body so it can capture its own body heat."
Mudbray,Loads weighing up to 50 times as much as its own body weight pose no issue for this Pokémon. It’s skilled at making use of mud.
Mudsdale,Mud that hardens around a Mudsdale’s legs sets harder than stone. It’s so hard that it allows this Pokémon to scrap a truck with a single kick.
Dewpider,It forms a water bubble at the rear of its body and then covers its head with it. Meeting another Dewpider means comparing water-bubble sizes.
Araquanid,"It launches water bubbles with its legs, drowning prey within the bubbles. This Pokémon can then take its time to savor its meal."
Fomantis,"When bathed in sunlight, this Pokémon emits a pleasantly sweet scent, which causes bug Pokémon to gather around it."
Lurantis,"This Pokémon resembles a beautiful flower. A properly raised Lurantis will have gorgeous, brilliant colors."
Morelull,Pokémon living in the forest eat the delicious caps on Morelull’s head. The caps regrow overnight.
Shiinotic,"Its flickering spores lure in prey and put them to sleep. Once this Pokémon has its prey snoozing, it drains their vitality with its fingertips."
Salandit,Its venom sacs produce a fluid that this Pokémon then heats up with the flame in its tail. This process creates Salandit’s poisonous gas.
Salazzle,Only female Salazzle exist. They emit a gas laden with pheromones to captivate male Salandit.
Stufful,"Its fluffy fur is a delight to pet, but carelessly reaching out to touch this Pokémon could result in painful retaliation."
Bewear,"Once it accepts you as a friend, it tries to show its affection with a hug. Letting it do that is dangerous—it could easily shatter your bones."
Bounsweet,"Its body gives off a sweet, fruity scent that is extremely appetizing to bird Pokémon."
Steenee,"As it twirls like a dancer, a sweet smell spreads out around it. Anyone who inhales the scent will feel a surge of happiness."
Tsareena,"This feared Pokémon has long, slender legs and a cruel heart. It shows no mercy as it stomps on its opponents."
Comfey,"Comfey picks flowers with its vine and decorates itself with them. For some reason, flowers won’t wither once they’re attached to a Comfey."
Oranguru,With waves of its fan—made from leaves and its own fur—Oranguru skillfully gives instructions to other Pokémon.
Passimian,"Displaying amazing teamwork, they follow the orders of their boss as they all help out in the search for their favorite berries."
Wimpod,"It’s nature’s cleaner—it eats anything and everything, including garbage and rotten things. The ground near its nest is always clean."
Golisopod,"It will do anything to win, taking advantage of every opening and finishing opponents off with the small claws on its front legs."
Sandygast,Grudges of the dead have possessed a mound of sand and become a Pokémon. Sandygast is fond of the shovel on its head.
Palossand,"Palossand is known as the Beach Nightmare. It pulls its prey down into the sand by controlling the sand itself, and then it sucks out their souls."
Pyukumuku,"It lives in warm, shallow waters. If it encounters a foe, it will spit out its internal organs as a means to punch them."
Type: Null,Rumor has it that the theft of top-secret research notes led to a new instance of this Pokémon being created in the Galar region.
Silvally,A solid bond of trust between this Pokémon and its Trainer awakened the strength hidden within Silvally. It can change its type at will.
Minior,"It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground."
Komala,"It stays asleep from the moment it’s born. When it falls into a deep sleep, it stops moving altogether."
Turtonator,Explosive substances coat the shell on its back. Enemies that dare attack it will be blown away by an immense detonation.
Togedemaru,"With the long hairs on its back, this Pokémon takes in electricity from other electric Pokémon. It stores what it absorbs in an electric sac."
Mimikyu,"It wears a rag fashioned into a Pikachu costume in an effort to look less scary. Unfortunately, the costume only makes it creepier."
Bruxish,"It burrows beneath the sand, radiating psychic power from the protuberance on its head. It waits for prey as it surveys the area."
Drampa,"The mountains it calls home are nearly two miles in height. On rare occasions, it descends to play with the children living in the towns below."
Dhelmise,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon."
Jangmo-o,They learn to fight by smashing their head scales together. The dueling strengthens both their skills and their spirits.
Hakamo-o,"The scaleless, scarred parts of its body are signs of its strength. It shows them off to defeated opponents."
Kommo-o,It clatters its tail scales to unnerve opponents. This Pokémon will battle only those who stand steadfast in the face of this display.
Tapu Koko,"Although it’s called a guardian deity, if a person or Pokémon puts it in a bad mood, it will become a malevolent deity and attack."
Tapu Lele,It heals the wounds of people and Pokémon by sprinkling them with its sparkling scales. This guardian deity is worshiped on Akala.
Tapu Bulu,"Although it’s called a guardian deity, it’s violent enough to crush anyone it sees as an enemy."
Tapu Fini,"This guardian deity of Poni Island manipulates water. Because it lives deep within a thick fog, it came to be both feared and revered."
Cosmog,"Even though its helpless, gaseous body can be blown away by the slightest breeze, it doesn’t seem to care."
Cosmoem,The king who ruled Alola in times of antiquity called it the “cocoon of the stars” and built an altar to worship it.
Solgaleo,Sometimes the result of its opening an Ultra Wormhole is that energy and life-forms from other worlds are called here to this world.
Lunala,"Records of it exist in writings from long, long ago, where it was known by the name “the beast that calls the moon.”"
Nihilego,"A life-form from another world, it was dubbed a UB and is thought to produce a strong neurotoxin."
Buzzwole,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives."
Pheromosa,"A life-form that lives in another world, its body is thin and supple, but it also possesses great power."
Xurkitree,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives."
Celesteela,"One of the dangerous UBs, high energy readings can be detected coming from both of its huge arms."
Kartana,"This Ultra Beast’s body, which is as thin as paper, is like a sharpened sword."
Guzzlord,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives."
Necrozma,"It looks somehow pained as it rages around in search of light, which serves as its energy. It’s apparently from another world."
Magearna,It synchronizes its consciousness with others to understand their feelings. This faculty makes it useful for taking care of people.
Marshadow,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it’s imitating."
Poipole,This Ultra Beast is well enough liked to be chosen as a first partner in its own world.
Naganadel,It stores hundreds of liters of poisonous liquid inside its body. It is one of the organisms known as UBs.
Stakataka,It appeared from an Ultra Wormhole. Each one appears to be made up of many life-forms stacked one on top of each other.
Blacephalon,"It slithers toward people. Then, without warning, it triggers the explosion of its own head. It’s apparently one kind of Ultra Beast."
Zeraora,"It electrifies its claws and tears its opponents apart with them. Even if they dodge its attack, they’ll be electrocuted by the flying sparks."
Meltan,"It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel."
Melmetal,"At the end of its life-span, Melmetal will rust and fall apart. The small shards left behind will eventually be reborn as Meltan."
Grookey,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area."
Thwackey,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers."
Rillaboom,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle."
Scorbunny,"A warm-up of running around gets fire energy coursing through this Pokémon’s body. Once that happens, it’s ready to fight at full power."
Raboot,Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.
Cinderace,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched."
Sobble,"When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won’t be able to resist weeping."
Drizzile,"A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms."
Inteleon,"It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air."
Skwovet,"Found throughout the Galar region, this Pokémon becomes uneasy if its cheeks are ever completely empty of berries."
Greedent,"It stashes berries in its tail—so many berries that they fall out constantly. But this Pokémon is a bit slow-witted, so it doesn’t notice the loss."
Rookidee,"It will bravely challenge any opponent, no matter how powerful. This Pokémon benefits from every battle—even a defeat increases its strength a bit."
Corvisquire,"Smart enough to use tools in battle, these Pokémon have been seen picking up rocks and flinging them or using ropes to wrap up enemies."
Corviknight,This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe.
Blipbug,"A constant collector of information, this Pokémon is very smart. Very strong is what it isn’t."
Dottler,"It barely moves, but it’s still alive. Hiding in its shell without food or water seems to have awakened its psychic powers."
Orbeetle,"It’s famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power."
Nickit,"Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains."
Thievul,"It secretly marks potential targets with a scent. By following the scent, it stalks its targets and steals from them when they least expect it."
Gossifleur,"It anchors itself in the ground with its single leg, then basks in the sun. After absorbing enough sunlight, its petals spread as it blooms brilliantly."
Eldegoss,The seeds attached to its cotton fluff are full of nutrients. It spreads them on the wind so that plants and other Pokémon can benefit from them.
Wooloo,"Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed."
Dubwool,"Weave a carpet from its springy wool, and you end up with something closer to a trampoline. You’ll start to bounce the moment you set foot on it."
Chewtle,Apparently the itch of its teething impels it to snap its jaws at anything in front of it.
Drednaw,"With jaws that can shear through steel rods, this highly aggressive Pokémon chomps down on its unfortunate prey."
Yamper,"This Pokémon is very popular as a herding dog in the Galar region. As it runs, it generates electricity from the base of its tail."
Boltund,This Pokémon generates electricity and channels it into its legs to keep them going strong. Boltund can run nonstop for three full days.
Rolycoly,"Most of its body has the same composition as coal. Fittingly, this Pokémon was first discovered in coal mines about 400 years ago."
Carkol,It forms coal inside its body. Coal dropped by this Pokémon once helped fuel the lives of people in the Galar region.
Coalossal,"It’s usually peaceful, but the vandalism of mines enrages it. Offenders will be incinerated with flames that reach 2,700 degrees Fahrenheit."
Applin,"It spends its entire life inside an apple. It hides from its natural enemies, bird Pokémon, by pretending it’s just an apple and nothing more."
Flapple,"It ate a sour apple, and that induced its evolution. In its cheeks, it stores an acid capable of causing chemical burns."
Appletun,"Eating a sweet apple caused its evolution. A nectarous scent wafts from its body, luring in the bug Pokémon it preys on."
Silicobra,"As it digs, it swallows sand and stores it in its neck pouch. The pouch can hold more than 17 pounds of sand."
Sandaconda,"When it contracts its body, over 220 pounds of sand sprays from its nose. If it ever runs out of sand, it becomes disheartened."
Cramorant,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight."
Arrokuda,"If it sees any movement around it, this Pokémon charges for it straightaway, leading with its sharply pointed jaw. It’s very proud of that jaw."
Barraskewda,"This Pokémon has a jaw that’s as sharp as a spear and as strong as steel. Apparently Barraskewda’s flesh is surprisingly tasty, too."
Toxel,"It stores poison in an internal poison sac and secretes that poison through its skin. If you touch this Pokémon, a tingling sensation follows."
Toxtricity,"Capable of generating 15,000 volts of electricity, this Pokémon looks down on all that would challenge it."
Sizzlipede,It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.
